date,open,high,low,close,adj_close,volume
2025-10-14,1165.0,1169.5999755859375,1139.4000244140625,1147.800048828125,1147.800048828125,1408990
2025-10-15,1147.800048828125,1163.699951171875,1145.0,1160.800048828125,1160.800048828125,1284749
2025-10-16,1165.0,1173.5,1158.5999755859375,1172.0999755859375,1172.0999755859375,655759
2025-10-17,1175.0,1178.0,1149.5999755859375,1163.300048828125,1163.300048828125,2207267
2025-10-20,1174.5999755859375,1174.5999755859375,1139.4000244140625,1145.199951171875,1145.199951171875,1214428
2025-10-21,1150.0,1154.699951171875,1148.5999755859375,1152.5,1152.5,115719
2025-10-23,1161.0,1162.5,1135.0999755859375,1138.199951171875,1138.199951171875,1740322
2025-10-24,1140.0,1151.0,1131.5,1141.4000244140625,1141.4000244140625,1320560
2025-10-27,1147.800048828125,1156.699951171875,1143.199951171875,1150.5999755859375,1150.5999755859375,1275776
2025-10-28,1145.5999755859375,1186.4000244140625,1145.0,1184.199951171875,1184.199951171875,3451230
2025-10-29,1189.199951171875,1223.9000244140625,1185.5,1207.9000244140625,1207.9000244140625,3819737
2025-10-30,1207.9000244140625,1211.5999755859375,1199.4000244140625,1210.0,1210.0,1273913
2025-10-31,1210.0,1216.0,1199.0,1206.0,1206.0,1337807
2025-11-03,1213.9000244140625,1217.5,1190.0,1195.0,1195.0,1486643
2025-11-04,1202.5999755859375,1202.5999755859375,1175.199951171875,1181.4000244140625,1181.4000244140625,1110884
2025-11-05,1181.4000244140625,1181.4000244140625,1181.4000244140625,1181.4000244140625,1181.4000244140625,0
2025-11-06,1181.4000244140625,1183.5,1161.5999755859375,1168.800048828125,1168.800048828125,1304994
2025-11-07,1160.0999755859375,1182.9000244140625,1151.199951171875,1171.699951171875,1171.699951171875,845047
2025-11-10,1174.0,1185.0,1172.0,1179.300048828125,1179.300048828125,740226
2025-11-11,1187.0,1206.699951171875,1166.0999755859375,1191.5,1191.5,1588730
2025-11-12,1192.0,1194.9000244140625,1178.0,1181.800048828125,1181.800048828125,976290
2025-11-13,1191.699951171875,1200.4000244140625,1178.0999755859375,1183.9000244140625,1183.9000244140625,1427189
2025-11-14,1182.0999755859375,1182.9000244140625,1159.0,1167.800048828125,1167.800048828125,1059030
2025-11-17,1173.9000244140625,1178.0,1165.4000244140625,1175.5,1175.5,1102752
2025-11-18,1179.9000244140625,1179.9000244140625,1152.9000244140625,1163.0,1163.0,1912105
2025-11-19,1167.5,1170.9000244140625,1157.5999755859375,1164.9000244140625,1164.9000244140625,522344
2025-11-20,1170.5999755859375,1174.9000244140625,1161.0,1170.0,1170.0,908758
2025-11-21,1166.0,1166.9000244140625,1133.0999755859375,1140.300048828125,1140.300048828125,1045627
2025-11-24,1142.0,1145.0,1104.300048828125,1106.0,1106.0,2209717
2025-11-25,1107.300048828125,1123.9000244140625,1107.300048828125,1112.0,1112.0,1394051
2025-11-26,1112.0,1157.0,1112.0,1154.4000244140625,1154.4000244140625,2167703
2025-11-27,1159.0,1163.0,1136.300048828125,1160.5999755859375,1160.5999755859375,2342042
2025-11-28,1160.0,1172.5999755859375,1153.300048828125,1160.300048828125,1160.300048828125,1243394
2025-12-01,1164.9000244140625,1185.0,1157.300048828125,1168.4000244140625,1168.4000244140625,3039396
2025-12-02,1168.4000244140625,1172.800048828125,1159.300048828125,1162.0,1162.0,2834317
2025-12-03,1162.0,1171.199951171875,1104.9000244140625,1143.5999755859375,1143.5999755859375,6026786
2025-12-04,1159.0,1165.0,1143.0999755859375,1150.5999755859375,1150.5999755859375,2285777
2025-12-05,1150.0,1170.0,1143.4000244140625,1162.199951171875,1162.199951171875,2326439
2025-12-08,1164.9000244140625,1168.0,1114.800048828125,1119.0999755859375,1119.0999755859375,1727184
2025-12-09,1118.0,1120.5999755859375,1099.300048828125,1107.800048828125,1107.800048828125,1947088
2025-12-10,1101.300048828125,1113.0999755859375,1090.0,1096.800048828125,1096.800048828125,1222924
2025-12-11,1100.9000244140625,1111.300048828125,1095.5,1105.4000244140625,1105.4000244140625,759090
2025-12-12,1110.0,1128.800048828125,1108.800048828125,1125.5,1125.5,827546
