date,open,high,low,close,adj_close,volume
2025-10-14,38535.0,38640.0,37340.0,38010.0,38010.0,32330
2025-10-15,38070.0,38595.0,37985.0,38380.0,38380.0,22583
2025-10-16,38480.0,38665.0,38270.0,38510.0,38510.0,16716
2025-10-17,38490.0,38850.0,38345.0,38755.0,38755.0,19212
2025-10-20,38585.0,39515.0,38585.0,39215.0,39215.0,19865
2025-10-21,39510.0,39510.0,39020.0,39200.0,39200.0,1943
2025-10-23,39490.0,39520.0,38825.0,38920.0,38920.0,11758
2025-10-24,39190.0,39190.0,38400.0,38585.0,38585.0,11903
2025-10-27,38775.0,39090.0,38435.0,39005.0,39005.0,9671
2025-10-28,38855.0,39370.0,38445.0,38540.0,38540.0,16377
2025-10-29,37915.0,38095.0,36800.0,37380.0,37380.0,49599
2025-10-30,37500.0,37570.0,36970.0,37210.0,37210.0,24286
2025-10-31,37410.0,37550.0,37010.0,37245.0,37245.0,19072
2025-11-03,37200.0,37250.0,36520.0,37025.0,37025.0,36510
2025-11-04,37025.0,37925.0,36805.0,37850.0,37850.0,29198
2025-11-06,37950.0,37950.0,36845.0,37020.0,37020.0,28881
2025-11-07,36985.0,37100.0,36610.0,36810.0,36810.0,13122
2025-11-10,37000.0,37495.0,36715.0,37280.0,37280.0,17223
2025-11-11,37280.0,37365.0,36500.0,36680.0,36680.0,36836
2025-11-12,36610.0,37345.0,35750.0,37255.0,37255.0,53670
2025-11-13,37150.0,37650.0,36945.0,37385.0,37385.0,24679
2025-11-14,37235.0,37285.0,36655.0,36955.0,36955.0,23119
2025-11-17,37000.0,37585.0,36915.0,37450.0,37450.0,24671
2025-11-18,37450.0,37470.0,36720.0,37045.0,37045.0,17257
2025-11-19,37065.0,37185.0,36600.0,36870.0,36870.0,18670
2025-11-20,36970.0,37195.0,36805.0,37050.0,37050.0,18123
2025-11-21,37140.0,37140.0,36420.0,36500.0,36500.0,12455
2025-11-24,36500.0,36685.0,36080.0,36200.0,36200.0,30421
2025-11-25,36400.0,36400.0,35680.0,35770.0,35770.0,14140
2025-11-26,35925.0,36590.0,35805.0,36485.0,36485.0,14212
2025-11-27,36700.0,36700.0,36050.0,36320.0,36320.0,12118
2025-11-28,36205.0,36455.0,36070.0,36110.0,36110.0,14473
2025-12-01,36280.0,36485.0,36160.0,36335.0,36335.0,16521
2025-12-02,36360.0,36900.0,36345.0,36660.0,36660.0,26398
2025-12-03,36850.0,36850.0,36160.0,36580.0,36580.0,22910
2025-12-04,36580.0,37250.0,36570.0,36845.0,36845.0,38002
2025-12-05,36985.0,37035.0,36595.0,36920.0,36920.0,9244
2025-12-08,37000.0,37080.0,36395.0,36595.0,36595.0,17000
2025-12-09,36660.0,36885.0,36285.0,36780.0,36780.0,15770
2025-12-10,36850.0,36950.0,36315.0,36400.0,36400.0,8636
2025-12-11,36590.0,36970.0,36215.0,36880.0,36880.0,7160
2025-12-12,36880.0,36950.0,36285.0,36715.0,36715.0,11065
