date,open,high,low,close,adj_close,volume
2025-10-14,9197.5,9280.0,8921.0,8950.0,8813.3583984375,134209
2025-10-15,8974.5,9073.0,8730.5,8757.0,8623.3056640625,152247
2025-10-16,8790.5,8848.0,8752.0,8796.5,8662.2021484375,103843
2025-10-17,8810.5,8837.0,8721.0,8780.5,8646.4462890625,121533
2025-10-20,8745.0,8754.0,8550.0,8585.5,8454.423828125,225848
2025-10-21,8620.0,8670.0,8601.0,8620.5,8488.888671875,15929
2025-10-23,8730.5,8740.0,8520.5,8532.0,8401.740234375,209610
2025-10-24,8570.0,8609.5,8505.0,8565.0,8434.236328125,108451
2025-10-27,8639.0,8714.5,8580.0,8695.5,8562.744140625,203519
2025-10-28,8720.0,8720.0,8521.0,8601.5,8470.1796875,148260
2025-10-29,8621.0,8706.5,8610.0,8659.5,8527.2939453125,91011
2025-10-30,8665.0,8695.0,8591.0,8612.5,8481.01171875,75010
2025-10-31,8633.5,8637.0,8500.0,8515.0,8385.0,111369
2025-11-03,8459.0,8470.0,8310.0,8407.0,8407.0,155670
2025-11-04,8420.0,8425.0,8290.0,8325.0,8325.0,85461
2025-11-05,8325.0,8325.0,8325.0,8325.0,8325.0,0
2025-11-06,8325.5,8357.5,8199.5,8212.5,8212.5,76986
2025-11-07,8210.0,8210.0,8036.0,8076.5,8076.5,91422
2025-11-10,8141.5,8254.5,8087.0,8176.5,8176.5,78362
2025-11-11,8176.5,8264.0,8168.5,8242.0,8242.0,74067
2025-11-12,8300.0,8430.0,8271.5,8394.0,8394.0,104111
2025-11-13,8380.5,8410.0,8286.5,8303.5,8303.5,57121
2025-11-14,8296.0,8296.0,8159.0,8223.5,8223.5,71224
2025-11-17,8276.5,8349.0,8240.0,8286.5,8286.5,63753
2025-11-18,8282.0,8290.0,8157.5,8177.5,8177.5,63320
2025-11-19,8189.0,8372.0,8165.0,8333.0,8333.0,144973
2025-11-20,8400.0,8514.5,8345.0,8372.5,8372.5,133670
2025-11-21,8330.5,8371.5,8150.0,8169.5,8169.5,84765
2025-11-24,8175.0,8275.0,8113.0,8146.5,8146.5,272790
2025-11-25,8200.0,8222.0,8060.0,8084.0,8084.0,79913
2025-11-26,8120.0,8220.0,8076.0,8177.5,8177.5,167920
2025-11-27,8199.0,8276.0,8115.0,8150.5,8150.5,197830
2025-11-28,8122.5,8265.0,8087.5,8107.0,8107.0,91091
2025-12-01,8149.5,8190.0,8110.0,8149.5,8149.5,82563
2025-12-02,8149.5,8196.5,8065.0,8099.0,8099.0,93379
2025-12-03,8124.0,8190.0,8042.5,8075.5,8075.5,120259
2025-12-04,8091.0,8225.0,8058.5,8191.5,8191.5,76182
2025-12-05,8220.0,8279.0,8158.0,8219.0,8219.0,89963
2025-12-08,8255.0,8264.0,7879.0,8026.0,8026.0,149195
2025-12-09,7970.5,8088.5,7915.5,8062.0,8062.0,82888
2025-12-10,8064.0,8117.0,7832.0,7870.0,7870.0,106562
2025-12-11,7712.5,8036.5,7524.5,8005.0,8005.0,264718
2025-12-12,7975.5,8023.5,7891.5,7990.0,7990.0,96155
